"ID","Id","Name","Minimum_Stock_Level__c","STATUS"
"01tdL00000ZL2fNQAT","01tdL00000ZL2fNQAT","Burgundy Formal Shirt","2","Item Updated"
"01tdL00000ZL2fOQAT","01tdL00000ZL2fOQAT","Green Formal Shirt","2","Item Updated"
"01tdL00000ZL2fPQAT","01tdL00000ZL2fPQAT","Patent Black Oxford Shoes","2","Item Updated"
"01tdL00000ZL2fQQAT","01tdL00000ZL2fQQAT","Blue Oxford Shoes","2","Item Updated"
"01tdL00000ZL2fRQAT","01tdL00000ZL2fRQAT","Brown Oxford Shoe","2","Item Updated"
"01tdL00000ZL2fSQAT","01tdL00000ZL2fSQAT","Brown Socks","2","Item Updated"
"01tdL00000ZL2fTQAT","01tdL00000ZL2fTQAT","Green Socks","2","Item Updated"
"01tdL00000ZL2fUQAT","01tdL00000ZL2fUQAT","Blue Suit","2","Item Updated"
"01tdL00000ZL2fVQAT","01tdL00000ZL2fVQAT","Grey Suit","2","Item Updated"
"01tdL00000ZL2fWQAT","01tdL00000ZL2fWQAT","Green Silk Tie","2","Item Updated"
"01tdL00000ZL2fXQAT","01tdL00000ZL2fXQAT","Maroon Silk Tie","2","Item Updated"
"01tdL00000ZL2fYQAT","01tdL00000ZL2fYQAT","Navy Silk Tie","2","Item Updated"
